ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
KoopaLeftFascination,0,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FLIPX,FLIPY
graphics/AllKoopa.png,6,10363,104,92,52,92,0,0
graphics/AllKoopa.png,125,10364,104,91,52,91,0,0
graphics/AllKoopa.png,246,10363,104,92,52,92,0,0
graphics/AllKoopa.png,369,10361,110,94,55,94,0,0
graphics/AllKoopa.png,490,10359,101,96,50.5,96,0,0
graphics/AllKoopa.png,611,10345,92,110,46,110,0,0
graphics/AllKoopa.png,730,10334,89,121,44.5,121,0,0
graphics/AllKoopa.png,6,10464,89,121,44.5,121,0,0
graphics/AllKoopa.png,104,10469,89,116,44.5,116,0,0
graphics/AllKoopa.png,202,10476,89,109,44.5,109,0,0
graphics/AllKoopa.png,299,10485,90,100,45,100,0,0
graphics/AllKoopa.png,397,10486,90,99,45,99,0,0
graphics/AllKoopa.png,495,10486,90,99,45,99,0,0
graphics/AllKoopa.png,593,10486,90,99,45,99,0,0
graphics/AllKoopa.png,691,10486,90,99,45,99,0,0
graphics/AllKoopa.png,789,10486,90,99,45,99,0,0
graphics/AllKoopa.png,887,10486,90,99,45,99,0,0
graphics/AllKoopa.png,985,10486,90,99,45,99,0,0
graphics/AllKoopa.png,1084,10480,89,105,44.5,105,0,0
graphics/AllKoopa.png,1182,10466,89,119,44.5,119,0,0
graphics/AllKoopa.png,1280,10463,89,122,44.5,122,0,0
graphics/AllKoopa.png,1378,10464,89,121,44.5,121,0,0
graphics/AllKoopa.png,2,10597,96,117,48,117,0,0
graphics/AllKoopa.png,100,10605,96,109,48,109,0,0
graphics/AllKoopa.png,198,10614,96,100,48,100,0,0
graphics/AllKoopa.png,296,10615,96,99,48,99,0,0
graphics/AllKoopa.png,394,10615,96,99,48,99,0,0
graphics/AllKoopa.png,492,10615,96,99,48,99,0,0
graphics/AllKoopa.png,590,10615,96,99,48,99,0,0
graphics/AllKoopa.png,688,10615,96,99,48,99,0,0
graphics/AllKoopa.png,786,10615,96,99,48,99,0,0
graphics/AllKoopa.png,884,10615,96,99,48,99,0,0
graphics/AllKoopa.png,982,10615,96,99,48,99,0,0
graphics/AllKoopa.png,1080,10615,96,99,48,99,0,0
graphics/AllKoopa.png,1178,10615,96,99,48,99,0,0
graphics/AllKoopa.png,1276,10615,96,99,48,99,0,0
graphics/AllKoopa.png,1374,10607,96,107,48,107,0,0
graphics/AllKoopa.png,6,10722,89,119,44.5,119,0,0
graphics/AllKoopa.png,104,10719,89,122,44.5,122,0,0
graphics/AllKoopa.png,5,10849,92,116,46,116,0,0
graphics/AllKoopa.png,119,10864,100,101,50,101,0,0
graphics/AllKoopa.png,232,10867,106,98,53,98,0,0
graphics/AllKoopa.png,344,10869,98,96,49,96,0,0
graphics/AllKoopa.png,7,10985,104,94,52,94,0,0
graphics/AllKoopa.png,144,10985,104,94,52,94,0,0
graphics/AllKoopa.png,280,10987,107,92,53.5,92,0,0
graphics/AllKoopa.png,417,10988,109,91,54.5,91,0,0
graphics/AllKoopa.png,553,10987,111,92,55.5,92,0,0
graphics/AllKoopa.png,690,10986,111,93,55.5,93,0,0
